["CCc1ccc(C(NC2CCCCC2)=O)s1", 0.278]
["CCc1ccc(C(NC(C)C2OCCC2)=O)s1", 0.272]
["CCc1ccc(C(Nc2nnc(CC3CCCC3)s2)=O)s1", 0.264]
["CCc1ccc(C(NC(C)C2C(CC3)CC3C2)=O)s1", 0.264]
["CCc1ccc(C(NC(C)c2ccncc2)=O)s1", 0.257]
["CCc1ccc(C(NC(CC2)CCN2C(C)C)=O)s1", 0.25]
["C(c1c(NC(c2occc2)=O)cccc1)(NC(C(NC1CCCCC1)=O)CC)=O", 0.25]
["Nc(ccc(Br)c1)c1C(NC(CC1CCCCC1)C(O)=O)=O", 0.245]
["CCc1ccc(C(NC2CCN(C)CC2)=O)s1", 0.245]
["CCC(C(NC1CCCC1)=O)Oc1cccc(Cl)c1", 0.245]
["CCc1ccc(C(NC2CCN(CC)CC2)=O)s1", 0.243]
["O=C(c(s1)ccc1Cl)NC1CCCC1", 0.242]
["CCc1ccc(C(NC2CCN(Cc3ccccc3)CC2)=O)s1", 0.241]
["CCc1ccc(C(NC(C)c(cc2)cc3c2OCO3)=O)s1", 0.241]
["COc(cc1)cc(-c2cc(C(NC(Cc3ccccc3)C(NC3CC3)=O)=O)no2)c1OC", 0.24]
["CCOC(N(CC1)CCC1NC(C(Cc1ccccc1)NC(c1ccco1)=O)=O)=O", 0.24]
["CC(C1OCCC1)NC(c(s1)ccc1Cl)=O", 0.24]
["O=C(c(s1)ccc1S(c(cc1)ccc1Cl)(=O)=O)NC1CCCC1", 0.239]
["O=C(c1ccc(-c2cccc(Cl)c2)s1)NCC1CCCCCC1", 0.237]
["O=C(c(s1)ccc1S(c(cc1)ccc1Cl)(=O)=O)NC1CC1", 0.236]
["CCc1ccc(C(NC(C)c2cc(OC)ccc2)=O)s1", 0.236]
["CCCN(CC1)CCC1NC(c1ccc(CC)s1)=O", 0.236]
["CCC(C(NC1CC1)=O)N(c1nc(-c(cc2)ccc2F)cs1)c(cc1)ccc1Cl", 0.236]
["C(C(NC(c1occc1)=O)C(C)C)(NC1CCCCCC1)=O", 0.236]
["O=C(c1noc(-c(cc2)ccc2Cl)c1)NC1CCCC1", 0.234]
["O=C(c(s1)ccc1S(c(cc1)ccc1Cl)(=O)=O)NC1CCCCCC1", 0.234]
["O=C(c(s1)ccc1S(c(cc1)ccc1Cl)(=O)=O)NC1CCCCC1", 0.234]
["CCc1ccc(C(NC(C)c(cc2)ccc2OCC)=O)s1", 0.234]
["NC(N1c(cc2)cc(Cl)c2F)=C(C(NC2CCCC2)=O)SC1=S", 0.233]
["Cc1c(C)sc(NC(c(n(C)nc2)c2Cl)=O)c1C(NC1CCCC1)=O", 0.233]
["CCc1ccc(C(Nc2cnccc2)=O)s1", 0.233]
